,checking account,duration in month,credit history,credit purpose,credit amount,savings account,employment since..,installment rate,status : sex,other debtors / guarantors,residence since,property,relationship : age,other installment plans,housing,existing credits,job,people to provide maintenance for,telephone,foreign worker,goodness
214,0 <= x <= 200,6,fully paid,other,1299,unknown/no savings account,1<= x < 4y,x >= 35,male : married/widowed,none, x < 1y,unknown / no property,74,none,rent,4 to 5,unemployed/unskilled - non-resident,3 or more,no,yes,good
215,negative,9,none/duly paid,other,1549,1000 <= x, x < 1y,x < 20,male : married/widowed,none,1y <= x < 4y,unknown / no property,35,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,no,good
216,0 <= x <= 200,10,none/duly paid,other,3949,unknown/no savings account, x < 1y,x >= 35,male : married/widowed,guarantor, x < 1y,car or other,37,none,rent,1,unskilled - resident,3 or more,no,no,good
217,x >= 200,10,none/duly paid,car (new),2901,1000 <= x, x < 1y,x >= 35,female: non-single or male: single,none,x >= 7y,unknown / no property,31,none,for free,1,skilled employee/official,0 to 2,no,no,good
218,0 <= x <= 200,6,none/duly paid,other,709,500 <= x < 1000, x < 1y,25 <= x < 35,female : single,none,1y <= x < 4y,unknown / no property,27,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,yes,good
219,none,47,none/duly paid,other,10722,unknown/no savings account, x < 1y,x >= 35,female: non-single or male: single,none, x < 1y,unknown / no property,35,none,rent,1,unskilled - resident,0 to 2,yes,no,good
220,x >= 200,10,none/duly paid,other,1287,1000 <= x,7y <= y,x < 20,male : married/widowed,co-applicant,1y <= x < 4y,car or other,45,none,rent,1,unskilled - resident,0 to 2,no,yes,good
221,none,18,critical,furniture,1940,unknown/no savings account, x < 1y,20 <= x < 25,male : married/widowed,co-applicant,x >= 7y,real estate,36,bank,own,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
222,0 <= x <= 200,30,fully paid,furniture,3656,1000 <= x,7y <= y,x < 20,male : married/widowed,none,x >= 7y,car or other,49,stores,rent,2 to 3,unskilled - resident,0 to 2,no,no,good
223,x >= 200,24,duly paid till now,car (new),4679,unknown/no savings account,4 <= x < 7y,20 <= x < 25,male : married/widowed,none,4y <= x < 7y,building soc. savings agr./life insurance,35,none,rent,2 to 3,unskilled - resident,0 to 2,yes,no,good
224,x >= 200,27,duly paid till now,car (new),8613,500 <= x < 1000,1<= x < 4y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,27,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
225,none,18,none/duly paid,car (used),2659,500 <= x < 1000,1<= x < 4y,x < 20,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,good
226,x >= 200,24,fully paid,furniture,1516,500 <= x < 1000,1<= x < 4y,x < 20,female: non-single or male: single,none, x < 1y,unknown / no property,43,none,rent,2 to 3,unskilled - resident,0 to 2,no,no,good
227,none,18,none/duly paid,other,4380,x < 100 DM,1<= x < 4y,20 <= x < 25,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,35,none,rent,1,unskilled - resident,3 or more,yes,no,good
228,x >= 200,14,duly paid till now,other,802,unknown/no savings account,1<= x < 4y,x < 20,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,27,none,rent,2 to 3,unskilled - resident,0 to 2,no,no,good
229,x >= 200,21,none/duly paid,retraining,1572,500 <= x < 1000,7y <= y,x < 20,female: non-single or male: single,none,x >= 7y,unknown / no property,36,bank,rent,1,unskilled - resident,0 to 2,no,no,good
230,negative,48,critical,retraining,3566,x < 100 DM,4 <= x < 7y,x < 20,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,30,none,rent,1,skilled employee/official,0 to 2,no,no,good
231,x >= 200,24,none/duly paid,furniture,1278,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none, x < 1y,unknown / no property,36,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
232,x >= 200,6,delayed,furniture,426,unknown/no savings account,7y <= y,x < 20,female : single,none,x >= 7y,building soc. savings agr./life insurance,39,none,rent,1,unskilled - resident,0 to 2,no,no,good
233,x >= 200,39,none/duly paid,car (new),8588,x < 100 DM,7y <= y,x < 20,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,45,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
234,none,30,none/duly paid,car (new),3857,unknown/no savings account,1<= x < 4y,x < 20,male : divorced/separated,none,x >= 7y,car or other,40,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
235,negative,12,none/duly paid,other,685,unknown/no savings account,4 <= x < 7y,25 <= x < 35,female : single,none,4y <= x < 7y,building soc. savings agr./life insurance,25,bank,rent,1,unskilled - resident,0 to 2,no,no,bad
236,none,24,none/duly paid,furniture,1603,unknown/no savings account,7y <= y,x < 20,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,55,none,rent,1,skilled employee/official,0 to 2,no,no,good
237,x >= 200,21,none/duly paid,car (used),2241,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,1y <= x < 4y,unknown / no property,50,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
238,none,24,none/duly paid,furniture,2384,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,x >= 7y,unknown / no property,64,bank,for free,1,unskilled - resident,0 to 2,no,no,good
239,x >= 200,4,none/duly paid,car (used),601,unknown/no savings account, x < 1y,x >= 35,female: non-single or male: single,none,4y <= x < 7y,unknown / no property,23,none,for free,1,unskilled - resident,3 or more,no,no,good
240,x >= 200,39,none/duly paid,car (new),2569,100 <= x < 500,1<= x < 4y,x < 20,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,no,no,good
241,x >= 200,15,fully paid,furniture,1316,100 <= x < 500,1<= x < 4y,25 <= x < 35,female : single,none,1y <= x < 4y,car or other,47,none,rent,2 to 3,unskilled - resident,0 to 2,no,no,good
242,x >= 200,60,none/duly paid,other,10366,unknown/no savings account,7y <= y,25 <= x < 35,male : married/widowed,none,x >= 7y,car or other,42,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
243,x >= 200,18,none/duly paid,retraining,1568,x < 100 DM,1<= x < 4y,20 <= x < 25,female: non-single or male: single,none,x >= 7y,car or other,24,none,for free,1,unskilled - resident,0 to 2,no,no,good
244,x >= 200,18,fully paid,furniture,629,100 <= x < 500,7y <= y,x < 20,male : married/widowed,none,4y <= x < 7y,car or other,32,bank,rent,2 to 3,manager/self-empl./highly qualif,0 to 2,yes,no,good
245,x >= 200,6,critical,furniture,1750,100 <= x < 500,7y <= y,25 <= x < 35,male : married/widowed,none,x >= 7y,car or other,45,bank,rent,1,unskilled - resident,3 or more,no,no,good
246,x >= 200,24,none/duly paid,car (new),3488,x < 100 DM,4 <= x < 7y,20 <= x < 25,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,no,no,good
247,x >= 200,18,fully paid,furniture,1800,unknown/no savings account,1<= x < 4y,x < 20,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,24,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
248,x >= 200,24,duly paid till now,car (used),4151,x < 100 DM,1<= x < 4y,25 <= x < 35,male : married/widowed,none,4y <= x < 7y,car or other,35,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
249,negative,15,none/duly paid,domestic appliances,2631,x < 100 DM,1<= x < 4y,20 <= x < 25,female: non-single or male: single,none,1y <= x < 4y,unknown / no property,25,none,rent,1,unskilled - resident,0 to 2,no,no,good
250,x >= 200,21,none/duly paid,car (new),5248,1000 <= x,1<= x < 4y,x >= 35,male : married/widowed,none,4y <= x < 7y,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
251,negative,18,duly paid till now,other,2899,1000 <= x,7y <= y,x < 20,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,43,none,rent,1,skilled employee/official,3 or more,no,no,good
252,negative,18,duly paid till now,domestic appliances,6204,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : married/widowed,none,x >= 7y,unknown / no property,44,none,rent,1,unskilled - resident,3 or more,yes,no,good
253,x >= 200,12,none/duly paid,furniture,804,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,38,none,rent,1,skilled employee/official,0 to 2,no,no,good
254,x >= 200,36,none/duly paid,furniture,3595,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,good
255,x >= 200,36,fully paid,car (new),5711,500 <= x < 1000,7y <= y,x < 20,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,38,none,rent,2 to 3,manager/self-empl./highly qualif,0 to 2,yes,no,good
256,0 <= x <= 200,15,none/duly paid,retraining,2687,unknown/no savings account,4 <= x < 7y,25 <= x < 35,male : married/widowed,none,x >= 7y,car or other,26,none,for free,1,skilled employee/official,0 to 2,yes,no,good
257,none,15,duly paid till now,car (used),3643,unknown/no savings account,7y <= y,x >= 35,female: non-single or male: single,none,x >= 7y,car or other,27,none,rent,2 to 3,unskilled - resident,0 to 2,no,no,good
258,x >= 200,10,fully paid,car (used),2146,unknown/no savings account, x < 1y,x >= 35,female: non-single or male: single,none,4y <= x < 7y,unknown / no property,23,none,for free,2 to 3,skilled employee/official,0 to 2,no,no,good
259,none,10,none/duly paid,furniture,2315,unknown/no savings account,7y <= y,20 <= x < 25,male : married/widowed,none,x >= 7y,unknown / no property,52,none,rent,1,unskilled - resident,0 to 2,no,no,good
260,x >= 200,5,none/duly paid,retraining,3448,unknown/no savings account,4 <= x < 7y,x >= 35,male : married/widowed,none,x >= 7y,unknown / no property,74,none,rent,1,unskilled - resident,0 to 2,no,no,good
261,x >= 200,15,none/duly paid,car (used),2708,unknown/no savings account, x < 1y,25 <= x < 35,male : married/widowed,none,4y <= x < 7y,car or other,27,bank,rent,2 to 3,unskilled - resident,0 to 2,no,no,good
262,x >= 200,11,fully paid,other,1393,unknown/no savings account, x < 1y,x < 20,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,35,none,rent,2 to 3,manager/self-empl./highly qualif,0 to 2,no,no,good
263,0 <= x <= 200,10,none/duly paid,car (used),1275,unknown/no savings account, x < 1y,x < 20,female: non-single or male: single,none,1y <= x < 4y,car or other,23,none,rent,1,skilled employee/official,0 to 2,no,no,good
264,x >= 200,9,none/duly paid,car (used),1313,unknown/no savings account,7y <= y,x >= 35,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,20,none,rent,1,skilled employee/official,0 to 2,no,no,good
265,x >= 200,12,none/duly paid,furniture,1493,unknown/no savings account, x < 1y,x < 20,female: non-single or male: single,none,4y <= x < 7y,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,3 or more,no,no,good
266,x >= 200,22,none/duly paid,furniture,2675,100 <= x < 500,7y <= y,20 <= x < 25,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,40,none,rent,1,skilled employee/official,0 to 2,no,no,good
267,negative,9,none/duly paid,furniture,2118,unknown/no savings account,1<= x < 4y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,unknown / no property,37,none,rent,1,unskilled - resident,3 or more,no,no,good
268,x >= 200,36,none/duly paid,other,909,100 <= x < 500,7y <= y,x < 20,male : married/widowed,none,x >= 7y,car or other,36,none,rent,1,skilled employee/official,0 to 2,no,no,good
269,x >= 200,12,fully paid,car (used),1258,unknown/no savings account, x < 1y,25 <= x < 35,female: non-single or male: single,none,x >= 7y,car or other,22,none,for free,2 to 3,unskilled - resident,0 to 2,no,no,good
270,x >= 200,15,critical,furniture,1569,x < 100 DM,7y <= y,x < 20,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,34,bank,rent,1,unskilled - resident,3 or more,no,no,good
271,x >= 200,6,none/duly paid,car (new),1236,100 <= x < 500,1<= x < 4y,25 <= x < 35,male : married/widowed,none,x >= 7y,car or other,50,none,for free,1,skilled employee/official,0 to 2,no,no,good
272,x >= 200,36,duly paid till now,car (used),7678,100 <= x < 500,4 <= x < 7y,25 <= x < 35,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,40,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
273,x >= 200,6,none/duly paid,domestic appliances,660,100 <= x < 500,4 <= x < 7y,25 <= x < 35,female : single,none,x >= 7y,unknown / no property,23,none,for free,1,unskilled - resident,0 to 2,no,no,good
274,x >= 200,24,none/duly paid,car (used),2835,100 <= x < 500,7y <= y,20 <= x < 25,male : married/widowed,none,x >= 7y,car or other,53,none,rent,1,skilled employee/official,0 to 2,no,no,good
275,x >= 200,24,none/duly paid,car (new),2670,unknown/no savings account,7y <= y,x < 20,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,35,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
276,x >= 200,12,critical,vacation,3447,100 <= x < 500,1<= x < 4y,x < 20,female: non-single or male: single,none,4y <= x < 7y,unknown / no property,35,none,rent,1,unskilled - resident,3 or more,no,no,good
277,x >= 200,15,none/duly paid,furniture,3568,unknown/no savings account,7y <= y,x < 20,female: non-single or male: single,none,1y <= x < 4y,building soc. savings agr./life insurance,54,bank,for free,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
278,negative,21,fully paid,retraining,3652,unknown/no savings account,4 <= x < 7y,25 <= x < 35,male : married/widowed,none,4y <= x < 7y,car or other,27,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
279,none,24,none/duly paid,furniture,3660,unknown/no savings account,1<= x < 4y,25 <= x < 35,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,good
280,0 <= x <= 200,9,none/duly paid,furniture,1126,x < 100 DM,7y <= y,25 <= x < 35,male : divorced/separated,none,x >= 7y,unknown / no property,49,none,rent,1,skilled employee/official,0 to 2,no,no,good
281,0 <= x <= 200,6,duly paid till now,furniture,683,unknown/no savings account, x < 1y,25 <= x < 35,female: non-single or male: single,none, x < 1y,car or other,29,bank,rent,1,skilled employee/official,0 to 2,no,no,good
282,0 <= x <= 200,12,none/duly paid,car (used),2251,unknown/no savings account,1<= x < 4y,x >= 35,female: non-single or male: single,none,1y <= x < 4y,building soc. savings agr./life insurance,46,none,rent,1,unskilled - resident,0 to 2,no,no,good
283,x >= 200,12,none/duly paid,car (new),4675,1000 <= x, x < 1y,x >= 35,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,no,no,good
284,negative,21,duly paid till now,other,2353,unknown/no savings account,1<= x < 4y,x >= 35,male : divorced/separated,none,x >= 7y,car or other,47,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
285,none,21,none/duly paid,furniture,3357,500 <= x < 1000, x < 1y,x < 20,female: non-single or male: single,none,1y <= x < 4y,building soc. savings agr./life insurance,29,bank,rent,1,skilled employee/official,0 to 2,no,no,good
286,x >= 200,6,none/duly paid,other,672,unknown/no savings account,unemployed,x >= 35,female: non-single or male: single,none,x >= 7y,unknown / no property,54,none,rent,1,unemployed/unskilled - non-resident,0 to 2,yes,no,good
287,none,6,fully paid,furniture,338,100 <= x < 500,7y <= y,x < 20,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,52,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
288,x >= 200,9,none/duly paid,furniture,2697,unknown/no savings account,1<= x < 4y,x >= 35,male : married/widowed,none,1y <= x < 4y,unknown / no property,32,none,rent,1,skilled employee/official,3 or more,no,no,good
289,x >= 200,9,none/duly paid,other,2507,100 <= x < 500,7y <= y,25 <= x < 35,male : married/widowed,none,x >= 7y,real estate,51,none,own,1,unskilled - resident,0 to 2,no,no,good
290,x >= 200,15,duly paid till now,furniture,1478,unknown/no savings account,1<= x < 4y,x < 20,female : single,none,4y <= x < 7y,unknown / no property,33,bank,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
291,x >= 200,12,fully paid,repairs,3565,1000 <= x, x < 1y,25 <= x < 35,male : married/widowed,none, x < 1y,car or other,37,none,rent,2 to 3,unskilled - resident,3 or more,no,no,good
292,x >= 200,15,none/duly paid,car (used),2221,100 <= x < 500,1<= x < 4y,25 <= x < 35,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,no,no,good
293,x >= 200,6,fully paid,furniture,1898,1000 <= x,1<= x < 4y,x >= 35,male : married/widowed,none,1y <= x < 4y,unknown / no property,34,none,rent,2 to 3,unskilled - resident,3 or more,no,no,good
294,negative,6,duly paid till now,retraining,1449,x < 100 DM,7y <= y,x >= 35,male : divorced/separated,none,1y <= x < 4y,building soc. savings agr./life insurance,31,bank,rent,2 to 3,skilled employee/official,3 or more,no,no,good
295,x >= 200,15,duly paid till now,car (used),960,500 <= x < 1000,4 <= x < 7y,20 <= x < 25,female: non-single or male: single,none,1y <= x < 4y,car or other,30,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
296,x >= 200,36,none/duly paid,car (new),8133,unknown/no savings account,1<= x < 4y,x >= 35,female: non-single or male: single,none,1y <= x < 4y,car or other,30,bank,rent,1,skilled employee/official,0 to 2,no,no,good
297,x >= 200,9,none/duly paid,car (used),2301,x < 100 DM, x < 1y,25 <= x < 35,female: non-single or male: single,none,x >= 7y,car or other,22,none,for free,1,skilled employee/official,0 to 2,no,no,good
298,x >= 200,6,duly paid till now,retraining,1743,x < 100 DM,1<= x < 4y,x >= 35,male : married/widowed,none,1y <= x < 4y,unknown / no property,34,none,rent,2 to 3,unskilled - resident,0 to 2,no,no,good
299,negative,12,none/duly paid,car (used),983,500 <= x < 1000, x < 1y,x >= 35,female: non-single or male: single,none,x >= 7y,unknown / no property,19,none,for free,1,unskilled - resident,0 to 2,no,no,good
300,x >= 200,18,duly paid till now,furniture,2320,unknown/no savings account,unemployed,25 <= x < 35,female : single,none,4y <= x < 7y,unknown / no property,34,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
301,none,12,critical,vacation,339,unknown/no savings account,7y <= y,x < 20,female : single,none, x < 1y,building soc. savings agr./life insurance,45,bank,rent,1,unskilled - resident,0 to 2,no,no,good
302,0 <= x <= 200,24,none/duly paid,furniture,5152,unknown/no savings account,4 <= x < 7y,x < 20,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,25,bank,rent,1,skilled employee/official,0 to 2,no,no,good
303,0 <= x <= 200,24,none/duly paid,car (used),3749,unknown/no savings account, x < 1y,25 <= x < 35,female: non-single or male: single,none,x >= 7y,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
304,x >= 200,9,fully paid,furniture,3074,1000 <= x,1<= x < 4y,x >= 35,male : married/widowed,none,1y <= x < 4y,unknown / no property,33,none,rent,2 to 3,skilled employee/official,3 or more,no,no,good
305,0 <= x <= 200,9,none/duly paid,furniture,745,unknown/no savings account,1<= x < 4y,20 <= x < 25,female: non-single or male: single,none,1y <= x < 4y,unknown / no property,28,none,rent,1,unskilled - resident,0 to 2,no,no,bad
306,x >= 200,24,none/duly paid,other,1469,x < 100 DM,7y <= y,x < 20,female : single,none,x >= 7y,unknown / no property,41,none,for free,1,unskilled - resident,0 to 2,no,no,good
307,none,6,none/duly paid,car (used),1374,unknown/no savings account,1<= x < 4y,x >= 35,male : married/widowed,none,1y <= x < 4y,unknown / no property,36,bank,rent,1,unskilled - resident,0 to 2,yes,no,good
308,x >= 200,6,critical,other,783,1000 <= x,1<= x < 4y,x >= 35,male : married/widowed,guarantor,1y <= x < 4y,unknown / no property,26,stores,rent,1,unskilled - resident,3 or more,no,no,good
309,none,21,none/duly paid,furniture,2606,unknown/no savings account, x < 1y,x < 20,female: non-single or male: single,none,x >= 7y,car or other,28,none,for free,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
310,x >= 200,54,delayed,car (new),9436,1000 <= x,1<= x < 4y,25 <= x < 35,male : married/widowed,none,1y <= x < 4y,car or other,39,none,rent,1,unskilled - resident,3 or more,no,no,good
311,x >= 200,12,fully paid,furniture,930,1000 <= x,7y <= y,x < 20,male : married/widowed,none,x >= 7y,unknown / no property,65,none,rent, x >= 6,skilled employee/official,0 to 2,no,no,good
312,x >= 200,48,fully paid,car (new),2751,1000 <= x,7y <= y,x < 20,male : married/widowed,none,4y <= x < 7y,building soc. savings agr./life insurance,38,none,rent,2 to 3,skilled employee/official,3 or more,yes,no,good
313,x >= 200,6,fully paid,other,250,500 <= x < 1000,1<= x < 4y,25 <= x < 35,female: non-single or male: single,none,1y <= x < 4y,unknown / no property,41,bank,rent,2 to 3,unskilled - resident,0 to 2,no,no,good
314,negative,24,none/duly paid,other,1201,unknown/no savings account, x < 1y,x < 20,male : married/widowed,none, x < 1y,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
315,none,6,none/duly paid,other,662,unknown/no savings account, x < 1y,20 <= x < 25,male : married/widowed,none,x >= 7y,unknown / no property,41,none,rent,1,unskilled - resident,3 or more,yes,no,good
316,x >= 200,15,none/duly paid,car (new),1300,1000 <= x,7y <= y,x < 20,male : married/widowed,none,x >= 7y,real estate,45,bank,own,1,skilled employee/official,3 or more,no,no,good
317,x >= 200,24,critical,retraining,1559,unknown/no savings account,4 <= x < 7y,x < 20,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,40,bank,rent,1,skilled employee/official,0 to 2,yes,no,good
318,0 <= x <= 200,12,none/duly paid,furniture,3016,unknown/no savings account,1<= x < 4y,20 <= x < 25,female : single,none, x < 1y,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,no,no,good
319,x >= 200,15,fully paid,furniture,1360,unknown/no savings account,1<= x < 4y,x < 20,male : married/widowed,none,1y <= x < 4y,car or other,31,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
320,x >= 200,6,delayed,other,1204,x < 100 DM,1<= x < 4y,x < 20,male : married/widowed,none, x < 1y,real estate,35,bank,for free,1,skilled employee/official,0 to 2,no,yes,good
321,x >= 200,10,none/duly paid,other,1597,100 <= x < 500,1<= x < 4y,20 <= x < 25,male : married/widowed,none,1y <= x < 4y,real estate,40,none,for free,1,unskilled - resident,3 or more,no,yes,good
322,x >= 200,12,none/duly paid,furniture,2073,x < 100 DM,1<= x < 4y,x < 20,female: non-single or male: single,co-applicant,1y <= x < 4y,unknown / no property,28,none,rent,1,skilled employee/official,0 to 2,no,no,good
323,x >= 200,11,none/duly paid,retraining,2142,500 <= x < 1000,7y <= y,x >= 35,male : divorced/separated,none,1y <= x < 4y,unknown / no property,28,none,rent,1,skilled employee/official,0 to 2,yes,no,good
324,none,10,fully paid,car (used),2132,1000 <= x, x < 1y,25 <= x < 35,female: non-single or male: single,co-applicant,4y <= x < 7y,unknown / no property,27,none,for free,2 to 3,skilled employee/official,0 to 2,no,yes,good
325,x >= 200,10,none/duly paid,other,1546,unknown/no savings account,1<= x < 4y,20 <= x < 25,male : married/widowed,none,1y <= x < 4y,unknown / no property,31,none,rent,1,unskilled - resident,3 or more,no,yes,good
326,x >= 200,24,fully paid,other,1287,500 <= x < 1000,7y <= y,x < 20,female: non-single or male: single,none,x >= 7y,unknown / no property,37,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
327,x >= 200,10,none/duly paid,other,1418,x < 100 DM,1<= x < 4y,20 <= x < 25,male : married/widowed,none,1y <= x < 4y,unknown / no property,35,none,for free,1,unskilled - resident,0 to 2,no,yes,good
328,0 <= x <= 200,6,fully paid,other,1343,unknown/no savings account,7y <= y,x >= 35,male : married/widowed,none,x >= 7y,unknown / no property,46,none,rent,2 to 3,skilled employee/official,3 or more,no,yes,good
329,x >= 200,18,none/duly paid,other,2662,1000 <= x,4 <= x < 7y,x < 20,male : married/widowed,none,4y <= x < 7y,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,yes,good
330,x >= 200,18,fully paid,furniture,6070,unknown/no savings account,7y <= y,20 <= x < 25,male : married/widowed,none,x >= 7y,building soc. savings agr./life insurance,33,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
331,x >= 200,24,fully paid,repairs,1927,1000 <= x,1<= x < 4y,20 <= x < 25,female: non-single or male: single,none,1y <= x < 4y,building soc. savings agr./life insurance,33,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
332,x >= 200,18,fully paid,furniture,2404,unknown/no savings account,1<= x < 4y,25 <= x < 35,female: non-single or male: single,none,1y <= x < 4y,building soc. savings agr./life insurance,26,none,rent,2 to 3,skilled employee/official,0 to 2,no,no,good
333,x >= 200,6,fully paid,furniture,1554,unknown/no savings account,4 <= x < 7y,x >= 35,female: non-single or male: single,none,1y <= x < 4y,building soc. savings agr./life insurance,24,none,for free,2 to 3,skilled employee/official,0 to 2,yes,no,good
334,x >= 200,22,none/duly paid,other,1283,1000 <= x,4 <= x < 7y,x < 20,female: non-single or male: single,none,x >= 7y,car or other,25,none,for free,1,skilled employee/official,0 to 2,no,no,good
335,x >= 200,24,duly paid till now,other,717,1000 <= x,7y <= y,x < 20,female : single,none,x >= 7y,building soc. savings agr./life insurance,54,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
336,none,24,none/duly paid,car (used),1747,unknown/no savings account, x < 1y,x < 20,male : married/widowed,co-applicant, x < 1y,car or other,24,none,rent,1,unskilled - resident,0 to 2,no,yes,good
337,none,9,fully paid,domestic appliances,1288,x < 100 DM,7y <= y,20 <= x < 25,male : married/widowed,guarantor,x >= 7y,unknown / no property,48,none,rent,2 to 3,skilled employee/official,3 or more,no,yes,good
338,none,10,fully paid,other,1038,unknown/no savings account,4 <= x < 7y,x < 20,male : married/widowed,co-applicant,4y <= x < 7y,car or other,49,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
339,x >= 200,10,none/duly paid,car (new),2848,x < 100 DM,1<= x < 4y,x >= 35,male : married/widowed,co-applicant,1y <= x < 4y,unknown / no property,32,none,rent,1,skilled employee/official,3 or more,no,no,good
340,x >= 200,12,none/duly paid,car (new),1413,500 <= x < 1000,4 <= x < 7y,20 <= x < 25,male : married/widowed,none,1y <= x < 4y,car or other,55,none,rent,1,skilled employee/official,0 to 2,no,yes,good
341,x >= 200,30,fully paid,furniture,3077,1000 <= x,7y <= y,20 <= x < 25,male : married/widowed,none,1y <= x < 4y,building soc. savings agr./life insurance,40,none,rent,2 to 3,skilled employee/official,3 or more,yes,no,good
342,none,24,critical,car (new),3632,unknown/no savings account,1<= x < 4y,x >= 35,female: non-single or male: single,guarantor,x >= 7y,building soc. savings agr./life insurance,22,bank,for free,1,skilled employee/official,0 to 2,no,yes,good
343,x >= 200,18,fully paid,car (new),3229,1000 <= x,unemployed,25 <= x < 35,male : married/widowed,none,x >= 7y,real estate,38,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
344,x >= 200,9,none/duly paid,other,3577,x < 100 DM,1<= x < 4y,x >= 35,male : married/widowed,guarantor,1y <= x < 4y,unknown / no property,26,none,for free,1,skilled employee/official,3 or more,no,yes,good
345,x >= 200,12,fully paid,other,682,x < 100 DM,4 <= x < 7y,x < 20,female: non-single or male: single,none,4y <= x < 7y,building soc. savings agr./life insurance,51,none,rent,2 to 3,skilled employee/official,0 to 2,yes,no,good
346,x >= 200,10,none/duly paid,furniture,1924,unknown/no savings account,1<= x < 4y,x >= 35,male : married/widowed,none,x >= 7y,car or other,38,none,rent,1,skilled employee/official,0 to 2,yes,yes,good
