,checking account,duration in month,credit history,credit purpose,credit amount,savings account,employment since..,installment rate,status : sex,other debtors / guarantors,residence since,property,relationship : age,other installment plans,housing,existing credits,job,people to provide maintenance for,telephone,foreign worker,goodness
234,none,4,critical account,radio OR tv,1544, ... < 100,4 <= ... < 7y,2,male : single,none,1,real estate,42,none,own,3,unskilled - resident,2,no,yes,1
235,negative,24,existing AND duly paid,radio OR tv,1823, ... < 100,unemployed,4,male : single,none,2,car OR other,30,stores,own,1,management OR self-employed OR highly qualified employee OR officer,2,no,yes,2
236, 0 <= ... <= 200,6,existing AND duly paid,car (new),14555,unknown OR no savings account,unemployed,1,male : single,none,2,society savings agreement OR life insurance,23,none,own,1,unemployed OR unskilled - non-resident,1,yes,yes,2
237, 0 <= ... <= 200,21,existing AND duly paid,business,2767,100 <= ... < 500,7y <= ...,4,male : separated OR divorced,none,2,car OR other,61,bank,rent,2,unskilled - resident,1,no,yes,2
238,none,12,critical account,radio OR tv,1291, ... < 100,1 <= ... < 4y,4,female : married OR separated OR divorced,none,2,society savings agreement OR life insurance,35,none,own,2,skilled employed OR official ,1,no,yes,1
239,negative,30,existing AND duly paid,radio OR tv,2522, ... < 100,7y <= ...,1,male : single,guarantor,3,society savings agreement OR life insurance,39,none,own,1,skilled employed OR official ,2,no,yes,1
240,negative,24,existing AND duly paid,car (new),915,unknown OR no savings account,7y <= ...,4,female : married OR separated OR divorced,none,2,car OR other,29,bank,own,1,skilled employed OR official ,1,no,yes,2
241,none,6,existing AND duly paid,radio OR tv,1595, ... < 100,4 <= ... < 7y,3,male : single,none,2,society savings agreement OR life insurance,51,none,own,1,skilled employed OR official ,2,no,yes,1
242,negative,48,none OR duly paid,car (used),4605, ... < 100,7y <= ...,3,male : single,none,4,none OR unknown,24,none,for free,2,skilled employed OR official ,2,no,yes,2
243,none,12,critical account,business,1185, ... < 100,1 <= ... < 4y,3,female : married OR separated OR divorced,none,2,real estate,27,none,own,2,skilled employed OR official ,1,no,yes,1
244,none,12,duly paid,retraining,3447,500 <= ... < 1000,1 <= ... < 4y,4,female : married OR separated OR divorced,none,3,real estate,35,none,own,1,unskilled - resident,2,no,yes,1
245,none,24,existing AND duly paid,business,1258, ... < 100,4 <= ... < 7y,4,male : single,none,1,real estate,25,none,own,1,skilled employed OR official ,1,yes,yes,1
246,none,12,critical account,radio OR tv,717, ... < 100,7y <= ...,4,male : single,none,4,real estate,52,none,own,3,skilled employed OR official ,1,no,yes,1
247,none,6,none OR duly paid,car (new),1204,100 <= ... < 500,1 <= ... < 4y,4,male : single,none,1,none OR unknown,35,bank,rent,1,skilled employed OR official ,1,no,no,1
248,200 < ...,24,existing AND duly paid,furniture,1925, ... < 100,1 <= ... < 4y,2,male : single,none,2,real estate,26,none,own,1,skilled employed OR official ,1,no,yes,1
249,none,18,existing AND duly paid,radio OR tv,433, ... < 100,unemployed,3,female : married OR separated OR divorced,co-applicant,4,real estate,22,none,rent,1,skilled employed OR official ,1,no,yes,2
250,negative,6,critical account,car (new),666,1000 <= ...,4 <= ... < 7y,3,female : married OR separated OR divorced,none,4,real estate,39,none,own,2,unskilled - resident,1,yes,yes,1
251,200 < ...,12,existing AND duly paid,furniture,2251, ... < 100,1 <= ... < 4y,1,female : married OR separated OR divorced,none,2,car OR other,46,none,own,1,unskilled - resident,1,no,yes,1
252, 0 <= ... <= 200,30,existing AND duly paid,car (new),2150, ... < 100,1 <= ... < 4y,4,female : married OR separated OR divorced,guarantor,2,none OR unknown,24,bank,own,1,skilled employed OR official ,1,no,yes,2
253,none,24,delayed,furniture,4151,100 <= ... < 500,1 <= ... < 4y,2,male : single,none,3,society savings agreement OR life insurance,35,none,own,2,skilled employed OR official ,1,no,yes,1
254, 0 <= ... <= 200,9,existing AND duly paid,furniture,2030,unknown OR no savings account,4 <= ... < 7y,2,male : single,none,1,car OR other,24,none,own,1,skilled employed OR official ,1,yes,yes,1
255, 0 <= ... <= 200,60,delayed,radio OR tv,7418,unknown OR no savings account,1 <= ... < 4y,1,male : single,none,1,real estate,27,none,own,1,unskilled - resident,1,no,yes,1
256,none,24,critical account,radio OR tv,2684, ... < 100,1 <= ... < 4y,4,male : single,none,2,real estate,35,none,own,2,unskilled - resident,1,no,yes,1
257,negative,12,duly paid,radio OR tv,2149, ... < 100,1 <= ... < 4y,4,male : separated OR divorced,none,1,none OR unknown,29,none,for free,1,skilled employed OR official ,1,no,yes,2
258,none,15,existing AND duly paid,car (used),3812,100 <= ... < 500, ... < 1y,1,female : married OR separated OR divorced,none,4,car OR other,23,none,own,1,skilled employed OR official ,1,yes,yes,1
259,none,11,critical account,radio OR tv,1154,100 <= ... < 500,unemployed,4,female : married OR separated OR divorced,none,4,real estate,57,none,own,3,unskilled - resident,1,no,yes,1
260,negative,12,existing AND duly paid,furniture,1657, ... < 100,1 <= ... < 4y,2,male : single,none,2,real estate,27,none,own,1,skilled employed OR official ,1,no,yes,1
261,negative,24,existing AND duly paid,radio OR tv,1603, ... < 100,7y <= ...,4,female : married OR separated OR divorced,none,4,car OR other,55,none,own,1,skilled employed OR official ,1,no,yes,1
262,negative,18,critical account,car (new),5302, ... < 100,7y <= ...,2,male : single,none,4,none OR unknown,36,none,for free,3,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
263,none,12,critical account,education,2748, ... < 100,7y <= ...,2,female : married OR separated OR divorced,none,4,none OR unknown,57,bank,for free,3,unskilled - resident,1,no,yes,1
264,none,10,critical account,car (new),1231, ... < 100,7y <= ...,3,male : single,none,4,real estate,32,none,own,2,unskilled - resident,2,no,no,1
265, 0 <= ... <= 200,15,existing AND duly paid,radio OR tv,802, ... < 100,7y <= ...,4,male : single,none,3,car OR other,37,none,own,1,skilled employed OR official ,2,no,yes,2
266,none,36,critical account,business,6304,unknown OR no savings account,7y <= ...,4,male : single,none,4,real estate,36,none,own,2,skilled employed OR official ,1,no,yes,1
267,none,24,existing AND duly paid,radio OR tv,1533, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,3,car OR other,38,stores,own,1,skilled employed OR official ,1,yes,yes,1
268,negative,14,existing AND duly paid,car (new),8978, ... < 100,7y <= ...,1,male : separated OR divorced,none,4,society savings agreement OR life insurance,45,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,no,2
269,none,24,existing AND duly paid,radio OR tv,999,unknown OR no savings account,7y <= ...,4,male : single,none,2,car OR other,25,none,own,2,skilled employed OR official ,1,no,yes,1
270,none,18,existing AND duly paid,car (new),2662,unknown OR no savings account,4 <= ... < 7y,4,male : single,none,3,society savings agreement OR life insurance,32,none,own,1,skilled employed OR official ,1,no,no,1
271,none,12,critical account,furniture,1402,500 <= ... < 1000,4 <= ... < 7y,3,female : married OR separated OR divorced,none,4,car OR other,37,none,rent,1,skilled employed OR official ,1,yes,yes,1
272, 0 <= ... <= 200,48,duly paid,car (new),12169,unknown OR no savings account,unemployed,4,male : single,co-applicant,4,none OR unknown,36,none,for free,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
273, 0 <= ... <= 200,48,existing AND duly paid,radio OR tv,3060, ... < 100,4 <= ... < 7y,4,male : single,none,4,real estate,28,none,own,2,skilled employed OR official ,1,no,yes,2
274,negative,30,existing AND duly paid,repairs,11998, ... < 100, ... < 1y,1,male : separated OR divorced,none,1,none OR unknown,34,none,own,1,unskilled - resident,1,yes,yes,2
275,none,9,existing AND duly paid,radio OR tv,2697, ... < 100,1 <= ... < 4y,1,male : single,none,2,real estate,32,none,own,1,skilled employed OR official ,2,no,yes,1
276,none,18,critical account,radio OR tv,2404, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,2,car OR other,26,none,own,2,skilled employed OR official ,1,no,yes,1
277,negative,12,existing AND duly paid,furniture,1262,unknown OR no savings account,7y <= ...,2,male : separated OR divorced,none,4,society savings agreement OR life insurance,49,none,own,1,unskilled - resident,1,yes,yes,1
278,none,6,existing AND duly paid,furniture,4611, ... < 100, ... < 1y,1,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,32,none,own,1,skilled employed OR official ,1,no,yes,2
279,none,24,existing AND duly paid,radio OR tv,1901,100 <= ... < 500,1 <= ... < 4y,4,male : single,none,4,car OR other,29,none,rent,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
280,none,15,critical account,car (used),3368,1000 <= ...,7y <= ...,3,male : single,none,4,none OR unknown,23,none,rent,2,skilled employed OR official ,1,yes,yes,1
281,none,12,existing AND duly paid,furniture,1574, ... < 100,1 <= ... < 4y,4,male : single,none,2,real estate,50,none,own,1,skilled employed OR official ,1,no,yes,1
282,200 < ...,18,duly paid,radio OR tv,1445,unknown OR no savings account,4 <= ... < 7y,4,male : single,none,4,car OR other,49,bank,own,1,unskilled - resident,1,no,yes,1
283,none,15,critical account,furniture,1520,unknown OR no savings account,7y <= ...,4,male : single,none,4,society savings agreement OR life insurance,63,none,own,1,skilled employed OR official ,1,no,yes,1
284, 0 <= ... <= 200,24,critical account,car (new),3878,100 <= ... < 500, ... < 1y,4,male : separated OR divorced,none,2,car OR other,37,none,own,1,skilled employed OR official ,1,yes,yes,1
285,negative,47,existing AND duly paid,car (new),10722, ... < 100, ... < 1y,1,female : married OR separated OR divorced,none,1,real estate,35,none,own,1,unskilled - resident,1,yes,yes,1
286,negative,48,existing AND duly paid,car (used),4788, ... < 100,4 <= ... < 7y,4,male : single,none,3,society savings agreement OR life insurance,26,none,own,1,skilled employed OR official ,2,no,yes,1
287, 0 <= ... <= 200,48,delayed,other,7582,100 <= ... < 500,unemployed,2,male : single,none,4,none OR unknown,31,none,for free,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
288, 0 <= ... <= 200,12,existing AND duly paid,radio OR tv,1092, ... < 100,1 <= ... < 4y,4,female : married OR separated OR divorced,guarantor,4,real estate,49,none,own,2,skilled employed OR official ,1,yes,yes,1
289,negative,24,delayed,radio OR tv,1024, ... < 100, ... < 1y,4,male : married,none,4,real estate,48,stores,own,1,skilled employed OR official ,1,no,yes,2
290,none,12,existing AND duly paid,business,1076, ... < 100,1 <= ... < 4y,2,male : married,none,2,real estate,26,none,own,1,skilled employed OR official ,1,yes,no,1
291, 0 <= ... <= 200,36,existing AND duly paid,car (used),9398, ... < 100, ... < 1y,1,male : married,none,4,car OR other,28,none,rent,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
292,negative,24,critical account,car (used),6419, ... < 100,7y <= ...,2,female : married OR separated OR divorced,none,4,none OR unknown,44,none,for free,2,management OR self-employed OR highly qualified employee OR officer,2,yes,yes,1
293,200 < ...,42,critical account,car (used),4796, ... < 100,7y <= ...,4,male : single,none,4,none OR unknown,56,none,for free,1,skilled employed OR official ,1,no,yes,1
294,none,48,critical account,business,7629,unknown OR no savings account,7y <= ...,4,male : separated OR divorced,none,2,car OR other,46,bank,own,2,management OR self-employed OR highly qualified employee OR officer,2,no,yes,1
295, 0 <= ... <= 200,48,existing AND duly paid,furniture,9960, ... < 100, ... < 1y,1,female : married OR separated OR divorced,none,2,car OR other,26,none,own,1,skilled employed OR official ,1,yes,yes,2
296,none,12,existing AND duly paid,car (used),4675,unknown OR no savings account, ... < 1y,1,female : married OR separated OR divorced,none,4,car OR other,20,none,rent,1,skilled employed OR official ,1,no,yes,1
297,none,10,existing AND duly paid,car (new),1287,unknown OR no savings account,7y <= ...,4,male : single,co-applicant,2,society savings agreement OR life insurance,45,none,own,1,unskilled - resident,1,no,no,1
298,none,18,existing AND duly paid,furniture,2515, ... < 100,1 <= ... < 4y,3,male : single,none,4,real estate,43,none,own,1,skilled employed OR official ,1,yes,yes,1
299, 0 <= ... <= 200,21,critical account,furniture,2745,1000 <= ...,4 <= ... < 7y,3,male : single,none,2,car OR other,32,none,own,2,skilled employed OR official ,1,yes,yes,1
300,none,6,existing AND duly paid,car (new),672, ... < 100,unemployed,1,female : married OR separated OR divorced,none,4,real estate,54,none,own,1,unemployed OR unskilled - non-resident,1,yes,yes,1
301, 0 <= ... <= 200,36,none OR duly paid,radio OR tv,3804, ... < 100,1 <= ... < 4y,4,female : married OR separated OR divorced,none,1,car OR other,42,none,own,1,skilled employed OR official ,1,yes,yes,2
302,200 < ...,24,critical account,car (new),1344,unknown OR no savings account,4 <= ... < 7y,4,male : single,none,2,real estate,37,bank,own,2,unskilled - resident,2,no,yes,2
303,negative,10,critical account,car (new),1038, ... < 100,4 <= ... < 7y,4,male : single,co-applicant,3,society savings agreement OR life insurance,49,none,own,2,skilled employed OR official ,1,yes,yes,1
304,none,48,critical account,car (new),10127,500 <= ... < 1000,1 <= ... < 4y,2,male : single,none,2,none OR unknown,44,bank,for free,1,skilled employed OR official ,1,no,yes,2
305,none,6,existing AND duly paid,furniture,1543,1000 <= ...,1 <= ... < 4y,4,male : separated OR divorced,none,2,real estate,33,none,own,1,skilled employed OR official ,1,no,yes,1
306,none,30,existing AND duly paid,car (used),4811,unknown OR no savings account,4 <= ... < 7y,2,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,24,stores,rent,1,unskilled - resident,1,no,yes,1
307,negative,12,existing AND duly paid,radio OR tv,727,100 <= ... < 500, ... < 1y,4,male : married,none,3,none OR unknown,33,none,own,1,unskilled - resident,1,yes,yes,2
308, 0 <= ... <= 200,8,existing AND duly paid,furniture,1237, ... < 100,1 <= ... < 4y,3,female : married OR separated OR divorced,none,4,real estate,24,none,own,1,skilled employed OR official ,1,no,yes,2
309, 0 <= ... <= 200,9,existing AND duly paid,car (new),276, ... < 100,1 <= ... < 4y,4,male : married,none,4,real estate,22,none,rent,1,unskilled - resident,1,no,yes,1
310, 0 <= ... <= 200,48,existing AND duly paid,other,5381,unknown OR no savings account,unemployed,3,male : single,none,4,none OR unknown,40,bank,for free,1,unemployed OR unskilled - non-resident,1,yes,yes,1
311,none,24,existing AND duly paid,furniture,5511,100 <= ... < 500,1 <= ... < 4y,4,male : single,none,1,car OR other,25,stores,own,1,skilled employed OR official ,1,no,yes,1
312,200 < ...,24,existing AND duly paid,furniture,3749, ... < 100, ... < 1y,2,female : married OR separated OR divorced,none,4,car OR other,26,none,own,1,skilled employed OR official ,1,no,yes,1
313, 0 <= ... <= 200,12,existing AND duly paid,car (new),685, ... < 100,4 <= ... < 7y,2,male : married,none,3,car OR other,25,bank,own,1,unskilled - resident,1,no,yes,2
314,200 < ...,4,existing AND duly paid,car (new),1494,unknown OR no savings account, ... < 1y,1,male : single,none,2,real estate,29,none,own,1,unskilled - resident,2,no,no,1
315,negative,36,duly paid,furniture,2746, ... < 100,7y <= ...,4,male : single,none,4,car OR other,31,bank,own,1,skilled employed OR official ,1,no,yes,2
316,negative,12,existing AND duly paid,furniture,708, ... < 100,1 <= ... < 4y,2,male : single,guarantor,3,society savings agreement OR life insurance,38,none,own,1,unskilled - resident,2,no,yes,1
317, 0 <= ... <= 200,24,existing AND duly paid,furniture,4351,unknown OR no savings account,1 <= ... < 4y,1,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,48,none,own,1,unskilled - resident,1,yes,yes,1
318,none,12,critical account,education,701, ... < 100,1 <= ... < 4y,4,male : single,none,2,car OR other,32,none,own,2,skilled employed OR official ,1,no,yes,1
319,negative,15,delayed,furniture,3643, ... < 100,7y <= ...,1,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,27,none,own,2,unskilled - resident,1,no,yes,1
320, 0 <= ... <= 200,30,critical account,car (new),4249, ... < 100,unemployed,4,male : married,none,2,car OR other,28,none,own,2,management OR self-employed OR highly qualified employee OR officer,1,no,yes,2
321,negative,24,existing AND duly paid,radio OR tv,1938, ... < 100, ... < 1y,4,male : separated OR divorced,none,3,society savings agreement OR life insurance,32,none,own,1,skilled employed OR official ,1,no,yes,2
322,negative,24,existing AND duly paid,car (used),2910, ... < 100,4 <= ... < 7y,2,male : single,none,1,none OR unknown,34,none,for free,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
323,negative,18,existing AND duly paid,furniture,2659,1000 <= ...,1 <= ... < 4y,4,male : single,none,2,car OR other,28,none,own,1,skilled employed OR official ,1,no,yes,1
324,none,18,critical account,car (new),1028, ... < 100,1 <= ... < 4y,4,female : married OR separated OR divorced,none,3,real estate,36,none,own,2,skilled employed OR official ,1,no,yes,1
325,negative,8,critical account,car (new),3398, ... < 100,4 <= ... < 7y,1,male : single,none,4,real estate,39,none,own,2,unskilled - resident,1,no,no,1
326,none,12,critical account,furniture,5801,unknown OR no savings account,7y <= ...,2,male : single,none,4,society savings agreement OR life insurance,49,none,rent,1,skilled employed OR official ,1,yes,yes,1
327,none,24,existing AND duly paid,car (new),1525,1000 <= ...,4 <= ... < 7y,4,female : married OR separated OR divorced,none,3,car OR other,34,none,own,1,skilled employed OR official ,2,yes,yes,1
328,200 < ...,36,existing AND duly paid,radio OR tv,4473, ... < 100,7y <= ...,4,male : single,none,2,car OR other,31,none,own,1,skilled employed OR official ,1,no,yes,1
329, 0 <= ... <= 200,6,existing AND duly paid,radio OR tv,1068, ... < 100,7y <= ...,4,male : single,none,4,car OR other,28,none,own,1,skilled employed OR official ,2,no,yes,1
330,negative,24,critical account,car (used),6615, ... < 100,unemployed,2,male : single,none,4,none OR unknown,75,none,for free,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
331,none,18,critical account,education,1864,100 <= ... < 500,1 <= ... < 4y,4,female : married OR separated OR divorced,none,2,real estate,30,none,own,2,skilled employed OR official ,1,no,yes,2
332, 0 <= ... <= 200,60,existing AND duly paid,car (new),7408,100 <= ... < 500, ... < 1y,4,female : married OR separated OR divorced,none,2,society savings agreement OR life insurance,24,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,no,yes,2
333,none,48,critical account,car (used),11590,100 <= ... < 500,1 <= ... < 4y,2,female : married OR separated OR divorced,none,4,car OR other,24,bank,rent,2,unskilled - resident,1,no,yes,2
334,negative,24,none OR duly paid,furniture,4110, ... < 100,7y <= ...,3,male : single,none,4,none OR unknown,23,bank,rent,2,skilled employed OR official ,2,no,yes,2
335,negative,6,critical account,furniture,3384, ... < 100,1 <= ... < 4y,1,male : separated OR divorced,none,4,real estate,44,none,rent,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
336, 0 <= ... <= 200,13,existing AND duly paid,radio OR tv,2101, ... < 100, ... < 1y,2,female : married OR separated OR divorced,guarantor,4,society savings agreement OR life insurance,23,none,own,1,unskilled - resident,1,no,yes,1
337,negative,15,existing AND duly paid,domestic appliances,1275,unknown OR no savings account,1 <= ... < 4y,4,female : married OR separated OR divorced,none,2,car OR other,24,none,rent,1,skilled employed OR official ,1,no,yes,2
338,negative,24,existing AND duly paid,furniture,4169, ... < 100,1 <= ... < 4y,4,male : single,none,4,society savings agreement OR life insurance,28,none,own,1,skilled employed OR official ,1,no,yes,1
339, 0 <= ... <= 200,10,existing AND duly paid,furniture,1521, ... < 100,1 <= ... < 4y,4,male : separated OR divorced,none,2,car OR other,31,none,own,1,unskilled - resident,1,no,yes,1
340, 0 <= ... <= 200,24,critical account,education,5743, ... < 100, ... < 1y,2,female : married OR separated OR divorced,none,4,none OR unknown,24,none,for free,2,skilled employed OR official ,1,yes,yes,1
341,negative,21,existing AND duly paid,furniture,3599, ... < 100,4 <= ... < 7y,1,female : married OR separated OR divorced,none,4,car OR other,26,none,rent,1,unskilled - resident,1,no,yes,1
342, 0 <= ... <= 200,18,existing AND duly paid,radio OR tv,3213,500 <= ... < 1000, ... < 1y,1,male : married,none,3,real estate,25,none,rent,1,skilled employed OR official ,1,no,yes,1
343, 0 <= ... <= 200,18,existing AND duly paid,business,4439, ... < 100,7y <= ...,1,male : single,co-applicant,1,real estate,33,bank,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
344,200 < ...,10,existing AND duly paid,car (new),3949, ... < 100, ... < 1y,1,male : single,guarantor,1,society savings agreement OR life insurance,37,none,own,1,unskilled - resident,2,no,yes,1
345,none,15,critical account,radio OR tv,1459, ... < 100,1 <= ... < 4y,4,female : married OR separated OR divorced,none,2,car OR other,43,none,own,1,unskilled - resident,1,no,yes,1
346, 0 <= ... <= 200,13,critical account,radio OR tv,882, ... < 100, ... < 1y,4,male : single,guarantor,4,real estate,23,none,own,2,skilled employed OR official ,1,no,yes,1
347, 0 <= ... <= 200,24,existing AND duly paid,radio OR tv,3758,500 <= ... < 1000,unemployed,1,female : married OR separated OR divorced,none,4,none OR unknown,23,none,rent,1,unemployed OR unskilled - non-resident,1,no,yes,1
348,none,6,delayed,business,1743,100 <= ... < 500,1 <= ... < 4y,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,1,no,yes,1
349, 0 <= ... <= 200,9,critical account,education,1136,1000 <= ...,7y <= ...,4,male : single,none,3,none OR unknown,32,none,for free,2,skilled employed OR official ,2,no,yes,2
350,none,9,existing AND duly paid,domestic appliances,1236, ... < 100, ... < 1y,1,female : married OR separated OR divorced,none,4,real estate,23,none,rent,1,skilled employed OR official ,1,yes,yes,1
351, 0 <= ... <= 200,9,existing AND duly paid,furniture,959, ... < 100,1 <= ... < 4y,1,female : married OR separated OR divorced,none,2,car OR other,29,none,own,1,skilled employed OR official ,1,no,no,2
352,none,18,critical account,car (used),3229,unknown OR no savings account,unemployed,2,male : single,none,4,none OR unknown,38,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
353,negative,12,none OR duly paid,radio OR tv,6199, ... < 100,1 <= ... < 4y,4,male : single,none,2,society savings agreement OR life insurance,28,none,rent,2,skilled employed OR official ,1,yes,yes,2
354,none,10,existing AND duly paid,education,727,500 <= ... < 1000,7y <= ...,4,male : single,none,4,none OR unknown,46,none,for free,1,skilled employed OR official ,1,yes,yes,1
355, 0 <= ... <= 200,24,existing AND duly paid,car (new),1246, ... < 100, ... < 1y,4,male : single,none,2,real estate,23,stores,own,1,unskilled - resident,1,no,yes,2
356,none,12,critical account,radio OR tv,2331,unknown OR no savings account,7y <= ...,1,male : single,co-applicant,4,real estate,49,none,own,1,skilled employed OR official ,1,yes,yes,1
357,none,36,delayed,radio OR tv,4463, ... < 100,1 <= ... < 4y,4,male : single,none,2,car OR other,26,none,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
358,none,12,existing AND duly paid,radio OR tv,776, ... < 100,1 <= ... < 4y,4,male : married,none,2,real estate,28,none,own,1,skilled employed OR official ,1,no,yes,1
359,negative,30,existing AND duly paid,furniture,2406, ... < 100,4 <= ... < 7y,4,female : married OR separated OR divorced,none,4,real estate,23,none,rent,1,skilled employed OR official ,1,no,yes,2
360, 0 <= ... <= 200,18,existing AND duly paid,education,1239,unknown OR no savings account,1 <= ... < 4y,4,male : single,none,4,none OR unknown,61,none,for free,1,skilled employed OR official ,1,no,yes,1
361,200 < ...,12,existing AND duly paid,radio OR tv,3399,unknown OR no savings account,7y <= ...,2,male : single,none,3,car OR other,37,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,no,yes,1
362,200 < ...,12,delayed,car (new),2247, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,2,car OR other,36,stores,own,2,skilled employed OR official ,1,yes,yes,1
363,none,6,existing AND duly paid,furniture,1766, ... < 100,1 <= ... < 4y,1,male : married,none,2,society savings agreement OR life insurance,21,none,rent,1,skilled employed OR official ,1,no,yes,1
364,negative,18,existing AND duly paid,furniture,2473, ... < 100,unemployed,4,male : single,none,1,car OR other,25,none,own,1,unemployed OR unskilled - non-resident,1,no,yes,2
365,none,12,existing AND duly paid,business,1542, ... < 100,4 <= ... < 7y,2,male : single,none,4,car OR other,36,none,own,1,skilled employed OR official ,1,yes,yes,1
366,none,18,critical account,car (used),3850, ... < 100,4 <= ... < 7y,3,male : single,none,1,car OR other,27,none,own,2,skilled employed OR official ,1,no,yes,1
367,negative,18,existing AND duly paid,furniture,3650, ... < 100, ... < 1y,1,female : married OR separated OR divorced,none,4,car OR other,22,none,rent,1,skilled employed OR official ,1,no,yes,1
368,negative,36,existing AND duly paid,furniture,3446, ... < 100,7y <= ...,4,male : single,none,2,car OR other,42,none,own,1,skilled employed OR official ,2,no,yes,2
369, 0 <= ... <= 200,18,existing AND duly paid,furniture,3001, ... < 100,4 <= ... < 7y,2,female : married OR separated OR divorced,none,4,real estate,40,none,rent,1,skilled employed OR official ,1,no,yes,1
370,none,36,existing AND duly paid,car (new),3079,unknown OR no savings account,1 <= ... < 4y,4,male : single,none,4,real estate,36,none,own,1,skilled employed OR official ,1,no,yes,1
371,none,18,critical account,radio OR tv,6070, ... < 100,7y <= ...,3,male : single,none,4,car OR other,33,none,own,2,skilled employed OR official ,1,yes,yes,1
372,none,10,critical account,furniture,2146, ... < 100, ... < 1y,1,female : married OR separated OR divorced,none,3,real estate,23,none,rent,2,skilled employed OR official ,1,no,yes,1
373,none,60,critical account,car (new),13756,unknown OR no savings account,7y <= ...,2,male : single,none,4,none OR unknown,63,bank,for free,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
374, 0 <= ... <= 200,60,duly paid,other,14782,100 <= ... < 500,7y <= ...,3,female : married OR separated OR divorced,none,4,none OR unknown,60,bank,for free,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
375,negative,48,duly paid,business,7685, ... < 100,4 <= ... < 7y,2,female : married OR separated OR divorced,guarantor,4,car OR other,37,none,rent,1,skilled employed OR official ,1,no,yes,2
376,none,18,delayed,radio OR tv,2320, ... < 100,unemployed,2,male : married,none,3,real estate,34,none,own,2,skilled employed OR official ,1,no,yes,1
377,none,7,delayed,radio OR tv,846,unknown OR no savings account,7y <= ...,3,male : single,none,4,none OR unknown,36,none,for free,1,skilled employed OR official ,1,no,yes,1
378, 0 <= ... <= 200,36,existing AND duly paid,car (new),14318, ... < 100,7y <= ...,4,male : single,none,2,none OR unknown,57,none,for free,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
379,none,6,critical account,car (new),362,100 <= ... < 500,1 <= ... < 4y,4,female : married OR separated OR divorced,none,4,car OR other,52,none,own,2,unskilled - resident,1,no,yes,1
380,negative,20,existing AND duly paid,furniture,2212,unknown OR no savings account,4 <= ... < 7y,4,male : single,none,4,car OR other,39,none,own,1,skilled employed OR official ,1,yes,yes,1
381, 0 <= ... <= 200,18,existing AND duly paid,car (used),12976, ... < 100,unemployed,3,female : married OR separated OR divorced,none,4,none OR unknown,38,none,for free,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
382,none,22,existing AND duly paid,car (new),1283,unknown OR no savings account,4 <= ... < 7y,4,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,25,none,rent,1,skilled employed OR official ,1,no,yes,1
383,200 < ...,12,existing AND duly paid,car (new),1330, ... < 100, ... < 1y,4,male : single,none,1,real estate,26,none,own,1,skilled employed OR official ,1,no,yes,1
384,none,30,delayed,business,4272,100 <= ... < 500,1 <= ... < 4y,2,male : single,none,2,society savings agreement OR life insurance,26,none,own,2,unskilled - resident,1,no,yes,1
385,none,18,critical account,radio OR tv,2238, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,1,car OR other,25,none,own,2,skilled employed OR official ,1,no,yes,1
386,none,18,existing AND duly paid,radio OR tv,1126,unknown OR no savings account, ... < 1y,4,female : married OR separated OR divorced,none,2,real estate,21,none,rent,1,skilled employed OR official ,1,yes,yes,1
387, 0 <= ... <= 200,18,critical account,furniture,7374, ... < 100,unemployed,4,male : single,none,4,society savings agreement OR life insurance,40,stores,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
388, 0 <= ... <= 200,15,critical account,business,2326,500 <= ... < 1000,1 <= ... < 4y,2,male : single,none,4,car OR other,27,bank,own,1,skilled employed OR official ,1,no,yes,1
