,checking account,duration in month,credit history,credit purpose,credit amount,savings account,employment since..,installment rate,status : sex,other debtors / guarantors,residence since,property,relationship : age,other installment plans,housing,existing credits,job,people to provide maintenance for,telephone,foreign worker,goodness
226,>=200 DM,24,fully paid back,furniture/equipment,1516,500-1000 DM,1-3 yrs,<20,female: non-single or male: single,none,< 1 yr,unknown / no property,43,none,rent,2,unskilled - resident,0 to 2,no,no,good
227,No Account,18,none open,others,4380,<100 DM,1-3 yrs,20-24,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,35,none,rent,1,unskilled - resident,3 or more,yes,no,good
228,>=200 DM,14,paid open rates,others,802,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,27,none,rent,2,unskilled - resident,0 to 2,no,no,good
229,>=200 DM,21,none open,retraining,1572,500-1000 DM,>= 7 yrs,<20,female: non-single or male: single,none,>= 7 yrs,unknown / no property,36,bank,rent,1,unskilled - resident,0 to 2,no,no,good
230,<0 DM,48,critical/open,retraining,3566,<100 DM,4-6 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,30,none,rent,1,skilled employee/official,0 to 2,no,no,good
231,>=200 DM,24,none open,furniture/equipment,1278,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,< 1 yr,unknown / no property,36,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
232,>=200 DM,6,past delay,furniture/equipment,426,unknown/no savings account,>= 7 yrs,<20,female : single,none,>= 7 yrs,building soc. savings agr./life insurance,39,none,rent,1,unskilled - resident,0 to 2,no,no,good
233,>=200 DM,39,none open,car (new),8588,<100 DM,>= 7 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,45,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
234,No Account,30,none open,car (new),3857,unknown/no savings account,1-3 yrs,<20,male : divorced/separated,none,>= 7 yrs,car or other,40,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
235,<0 DM,12,none open,others,685,unknown/no savings account,4-6 yrs,25-34,female : single,none,4-6 yrs,building soc. savings agr./life insurance,25,bank,rent,1,unskilled - resident,0 to 2,no,no,bad
236,No Account,24,none open,furniture/equipment,1603,unknown/no savings account,>= 7 yrs,<20,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,55,none,rent,1,skilled employee/official,0 to 2,no,no,good
237,>=200 DM,21,none open,car (used),2241,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,1-3 yrs,unknown / no property,50,none,rent,2,skilled employee/official,0 to 2,no,no,good
238,No Account,24,none open,furniture/equipment,2384,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,unknown / no property,64,bank,for free,1,unskilled - resident,0 to 2,no,no,good
239,>=200 DM,4,none open,car (used),601,unknown/no savings account,<1 yr,>= 35,female: non-single or male: single,none,4-6 yrs,unknown / no property,23,none,for free,1,unskilled - resident,3 or more,no,no,good
240,>=200 DM,39,none open,car (new),2569,100-500 DM,1-3 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,no,no,good
241,>=200 DM,15,fully paid back,furniture/equipment,1316,100-500 DM,1-3 yrs,25-34,female : single,none,1-3 yrs,car or other,47,none,rent,2,unskilled - resident,0 to 2,no,no,good
242,>=200 DM,60,none open,others,10366,unknown/no savings account,>= 7 yrs,25-34,male : married/widowed,none,>= 7 yrs,car or other,42,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
243,>=200 DM,18,none open,retraining,1568,<100 DM,1-3 yrs,20-24,female: non-single or male: single,none,>= 7 yrs,car or other,24,none,for free,1,unskilled - resident,0 to 2,no,no,good
244,>=200 DM,18,fully paid back,furniture/equipment,629,100-500 DM,>= 7 yrs,<20,male : married/widowed,none,4-6 yrs,car or other,32,bank,rent,2,manager/self-empl./highly qualif,0 to 2,yes,no,good
245,>=200 DM,6,critical/open,furniture/equipment,1750,100-500 DM,>= 7 yrs,25-34,male : married/widowed,none,>= 7 yrs,car or other,45,bank,rent,1,unskilled - resident,3 or more,no,no,good
246,>=200 DM,24,none open,car (new),3488,<100 DM,4-6 yrs,20-24,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,no,no,good
247,>=200 DM,18,fully paid back,furniture/equipment,1800,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,24,none,rent,2,skilled employee/official,0 to 2,no,no,good
248,>=200 DM,24,paid open rates,car (used),4151,<100 DM,1-3 yrs,25-34,male : married/widowed,none,4-6 yrs,car or other,35,none,rent,2,skilled employee/official,0 to 2,no,no,good
249,<0 DM,15,none open,domestic appliances,2631,<100 DM,1-3 yrs,20-24,female: non-single or male: single,none,1-3 yrs,unknown / no property,25,none,rent,1,unskilled - resident,0 to 2,no,no,good
250,>=200 DM,21,none open,car (new),5248,>=1000 DM,1-3 yrs,>= 35,male : married/widowed,none,4-6 yrs,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
251,<0 DM,18,paid open rates,others,2899,>=1000 DM,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,43,none,rent,1,skilled employee/official,3 or more,no,no,good
252,<0 DM,18,paid open rates,domestic appliances,6204,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,none,>= 7 yrs,unknown / no property,44,none,rent,1,unskilled - resident,3 or more,yes,no,good
253,>=200 DM,12,none open,furniture/equipment,804,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,38,none,rent,1,skilled employee/official,0 to 2,no,no,good
254,>=200 DM,36,none open,furniture/equipment,3595,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,good
255,>=200 DM,36,fully paid back,car (new),5711,500-1000 DM,>= 7 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,38,none,rent,2,manager/self-empl./highly qualif,0 to 2,yes,no,good
256,0-200 DM,15,none open,retraining,2687,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,none,>= 7 yrs,car or other,26,none,for free,1,skilled employee/official,0 to 2,yes,no,good
257,No Account,15,paid open rates,car (used),3643,unknown/no savings account,>= 7 yrs,>= 35,female: non-single or male: single,none,>= 7 yrs,car or other,27,none,rent,2,unskilled - resident,0 to 2,no,no,good
258,>=200 DM,10,fully paid back,car (used),2146,unknown/no savings account,<1 yr,>= 35,female: non-single or male: single,none,4-6 yrs,unknown / no property,23,none,for free,2,skilled employee/official,0 to 2,no,no,good
259,No Account,10,none open,furniture/equipment,2315,unknown/no savings account,>= 7 yrs,20-24,male : married/widowed,none,>= 7 yrs,unknown / no property,52,none,rent,1,unskilled - resident,0 to 2,no,no,good
260,>=200 DM,5,none open,retraining,3448,unknown/no savings account,4-6 yrs,>= 35,male : married/widowed,none,>= 7 yrs,unknown / no property,74,none,rent,1,unskilled - resident,0 to 2,no,no,good
261,>=200 DM,15,none open,car (used),2708,unknown/no savings account,<1 yr,25-34,male : married/widowed,none,4-6 yrs,car or other,27,bank,rent,2,unskilled - resident,0 to 2,no,no,good
262,>=200 DM,11,fully paid back,others,1393,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,35,none,rent,2,manager/self-empl./highly qualif,0 to 2,no,no,good
263,0-200 DM,10,none open,car (used),1275,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,1-3 yrs,car or other,23,none,rent,1,skilled employee/official,0 to 2,no,no,good
264,>=200 DM,9,none open,car (used),1313,unknown/no savings account,>= 7 yrs,>= 35,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,20,none,rent,1,skilled employee/official,0 to 2,no,no,good
265,>=200 DM,12,none open,furniture/equipment,1493,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,4-6 yrs,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,3 or more,no,no,good
266,>=200 DM,22,none open,furniture/equipment,2675,100-500 DM,>= 7 yrs,20-24,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,40,none,rent,1,skilled employee/official,0 to 2,no,no,good
267,<0 DM,9,none open,furniture/equipment,2118,unknown/no savings account,1-3 yrs,25-34,male : married/widowed,none,1-3 yrs,unknown / no property,37,none,rent,1,unskilled - resident,3 or more,no,no,good
268,>=200 DM,36,none open,others,909,100-500 DM,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,car or other,36,none,rent,1,skilled employee/official,0 to 2,no,no,good
269,>=200 DM,12,fully paid back,car (used),1258,unknown/no savings account,<1 yr,25-34,female: non-single or male: single,none,>= 7 yrs,car or other,22,none,for free,2,unskilled - resident,0 to 2,no,no,good
270,>=200 DM,15,critical/open,furniture/equipment,1569,<100 DM,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,34,bank,rent,1,unskilled - resident,3 or more,no,no,good
271,>=200 DM,6,none open,car (new),1236,100-500 DM,1-3 yrs,25-34,male : married/widowed,none,>= 7 yrs,car or other,50,none,for free,1,skilled employee/official,0 to 2,no,no,good
272,>=200 DM,36,paid open rates,car (used),7678,100-500 DM,4-6 yrs,25-34,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,40,none,rent,2,skilled employee/official,0 to 2,yes,no,good
273,>=200 DM,6,none open,domestic appliances,660,100-500 DM,4-6 yrs,25-34,female : single,none,>= 7 yrs,unknown / no property,23,none,for free,1,unskilled - resident,0 to 2,no,no,good
274,>=200 DM,24,none open,car (used),2835,100-500 DM,>= 7 yrs,20-24,male : married/widowed,none,>= 7 yrs,car or other,53,none,rent,1,skilled employee/official,0 to 2,no,no,good
275,>=200 DM,24,none open,car (new),2670,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,35,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
276,>=200 DM,12,critical/open,vacation,3447,100-500 DM,1-3 yrs,<20,female: non-single or male: single,none,4-6 yrs,unknown / no property,35,none,rent,1,unskilled - resident,3 or more,no,no,good
277,>=200 DM,15,none open,furniture/equipment,3568,unknown/no savings account,>= 7 yrs,<20,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,54,bank,for free,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
278,<0 DM,21,fully paid back,retraining,3652,unknown/no savings account,4-6 yrs,25-34,male : married/widowed,none,4-6 yrs,car or other,27,none,rent,2,skilled employee/official,0 to 2,no,no,good
279,No Account,24,none open,furniture/equipment,3660,unknown/no savings account,1-3 yrs,25-34,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,good
280,0-200 DM,9,none open,furniture/equipment,1126,<100 DM,>= 7 yrs,25-34,male : divorced/separated,none,>= 7 yrs,unknown / no property,49,none,rent,1,skilled employee/official,0 to 2,no,no,good
281,0-200 DM,6,paid open rates,furniture/equipment,683,unknown/no savings account,<1 yr,25-34,female: non-single or male: single,none,< 1 yr,car or other,29,bank,rent,1,skilled employee/official,0 to 2,no,no,good
282,0-200 DM,12,none open,car (used),2251,unknown/no savings account,1-3 yrs,>= 35,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,46,none,rent,1,unskilled - resident,0 to 2,no,no,good
283,>=200 DM,12,none open,car (new),4675,>=1000 DM,<1 yr,>= 35,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,no,no,good
284,<0 DM,21,paid open rates,others,2353,unknown/no savings account,1-3 yrs,>= 35,male : divorced/separated,none,>= 7 yrs,car or other,47,none,rent,2,skilled employee/official,0 to 2,no,no,good
285,No Account,21,none open,furniture/equipment,3357,500-1000 DM,<1 yr,<20,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,29,bank,rent,1,skilled employee/official,0 to 2,no,no,good
286,>=200 DM,6,none open,others,672,unknown/no savings account,unemployed,>= 35,female: non-single or male: single,none,>= 7 yrs,unknown / no property,54,none,rent,1,unemployed/unskilled - non-resident,0 to 2,yes,no,good
287,No Account,6,fully paid back,furniture/equipment,338,100-500 DM,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,52,none,rent,2,skilled employee/official,0 to 2,no,no,good
288,>=200 DM,9,none open,furniture/equipment,2697,unknown/no savings account,1-3 yrs,>= 35,male : married/widowed,none,1-3 yrs,unknown / no property,32,none,rent,1,skilled employee/official,3 or more,no,no,good
289,>=200 DM,9,none open,others,2507,100-500 DM,>= 7 yrs,25-34,male : married/widowed,none,>= 7 yrs,real estate,51,none,own,1,unskilled - resident,0 to 2,no,no,good
290,>=200 DM,15,paid open rates,furniture/equipment,1478,unknown/no savings account,1-3 yrs,<20,female : single,none,4-6 yrs,unknown / no property,33,bank,rent,2,skilled employee/official,0 to 2,no,no,good
291,>=200 DM,12,fully paid back,repairs,3565,>=1000 DM,<1 yr,25-34,male : married/widowed,none,< 1 yr,car or other,37,none,rent,2,unskilled - resident,3 or more,no,no,good
292,>=200 DM,15,none open,car (used),2221,100-500 DM,1-3 yrs,25-34,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,no,no,good
293,>=200 DM,6,fully paid back,furniture/equipment,1898,>=1000 DM,1-3 yrs,>= 35,male : married/widowed,none,1-3 yrs,unknown / no property,34,none,rent,2,unskilled - resident,3 or more,no,no,good
294,<0 DM,6,paid open rates,retraining,1449,<100 DM,>= 7 yrs,>= 35,male : divorced/separated,none,1-3 yrs,building soc. savings agr./life insurance,31,bank,rent,2,skilled employee/official,3 or more,no,no,good
295,>=200 DM,15,paid open rates,car (used),960,500-1000 DM,4-6 yrs,20-24,female: non-single or male: single,none,1-3 yrs,car or other,30,none,rent,2,skilled employee/official,0 to 2,no,no,good
296,>=200 DM,36,none open,car (new),8133,unknown/no savings account,1-3 yrs,>= 35,female: non-single or male: single,none,1-3 yrs,car or other,30,bank,rent,1,skilled employee/official,0 to 2,no,no,good
297,>=200 DM,9,none open,car (used),2301,<100 DM,<1 yr,25-34,female: non-single or male: single,none,>= 7 yrs,car or other,22,none,for free,1,skilled employee/official,0 to 2,no,no,good
298,>=200 DM,6,paid open rates,retraining,1743,<100 DM,1-3 yrs,>= 35,male : married/widowed,none,1-3 yrs,unknown / no property,34,none,rent,2,unskilled - resident,0 to 2,no,no,good
299,<0 DM,12,none open,car (used),983,500-1000 DM,<1 yr,>= 35,female: non-single or male: single,none,>= 7 yrs,unknown / no property,19,none,for free,1,unskilled - resident,0 to 2,no,no,good
300,>=200 DM,18,paid open rates,furniture/equipment,2320,unknown/no savings account,unemployed,25-34,female : single,none,4-6 yrs,unknown / no property,34,none,rent,2,skilled employee/official,0 to 2,no,no,good
301,No Account,12,critical/open,vacation,339,unknown/no savings account,>= 7 yrs,<20,female : single,none,< 1 yr,building soc. savings agr./life insurance,45,bank,rent,1,unskilled - resident,0 to 2,no,no,good
302,0-200 DM,24,none open,furniture/equipment,5152,unknown/no savings account,4-6 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,25,bank,rent,1,skilled employee/official,0 to 2,no,no,good
303,0-200 DM,24,none open,car (used),3749,unknown/no savings account,<1 yr,25-34,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
304,>=200 DM,9,fully paid back,furniture/equipment,3074,>=1000 DM,1-3 yrs,>= 35,male : married/widowed,none,1-3 yrs,unknown / no property,33,none,rent,2,skilled employee/official,3 or more,no,no,good
305,0-200 DM,9,none open,furniture/equipment,745,unknown/no savings account,1-3 yrs,20-24,female: non-single or male: single,none,1-3 yrs,unknown / no property,28,none,rent,1,unskilled - resident,0 to 2,no,no,bad
306,>=200 DM,24,none open,others,1469,<100 DM,>= 7 yrs,<20,female : single,none,>= 7 yrs,unknown / no property,41,none,for free,1,unskilled - resident,0 to 2,no,no,good
307,No Account,6,none open,car (used),1374,unknown/no savings account,1-3 yrs,>= 35,male : married/widowed,none,1-3 yrs,unknown / no property,36,bank,rent,1,unskilled - resident,0 to 2,yes,no,good
308,>=200 DM,6,critical/open,others,783,>=1000 DM,1-3 yrs,>= 35,male : married/widowed,guarantor,1-3 yrs,unknown / no property,26,stores,rent,1,unskilled - resident,3 or more,no,no,good
309,No Account,21,none open,furniture/equipment,2606,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,>= 7 yrs,car or other,28,none,for free,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
310,>=200 DM,54,past delay,car (new),9436,>=1000 DM,1-3 yrs,25-34,male : married/widowed,none,1-3 yrs,car or other,39,none,rent,1,unskilled - resident,3 or more,no,no,good
311,>=200 DM,12,fully paid back,furniture/equipment,930,>=1000 DM,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,unknown / no property,65,none,rent,4,skilled employee/official,0 to 2,no,no,good
312,>=200 DM,48,fully paid back,car (new),2751,>=1000 DM,>= 7 yrs,<20,male : married/widowed,none,4-6 yrs,building soc. savings agr./life insurance,38,none,rent,2,skilled employee/official,3 or more,yes,no,good
313,>=200 DM,6,fully paid back,others,250,500-1000 DM,1-3 yrs,25-34,female: non-single or male: single,none,1-3 yrs,unknown / no property,41,bank,rent,2,unskilled - resident,0 to 2,no,no,good
314,<0 DM,24,none open,others,1201,unknown/no savings account,<1 yr,<20,male : married/widowed,none,< 1 yr,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
315,No Account,6,none open,others,662,unknown/no savings account,<1 yr,20-24,male : married/widowed,none,>= 7 yrs,unknown / no property,41,none,rent,1,unskilled - resident,3 or more,yes,no,good
316,>=200 DM,15,none open,car (new),1300,>=1000 DM,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,45,bank,own,1,skilled employee/official,3 or more,no,no,good
317,>=200 DM,24,critical/open,retraining,1559,unknown/no savings account,4-6 yrs,<20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,40,bank,rent,1,skilled employee/official,0 to 2,yes,no,good
318,0-200 DM,12,none open,furniture/equipment,3016,unknown/no savings account,1-3 yrs,20-24,female : single,none,< 1 yr,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,no,no,good
319,>=200 DM,15,fully paid back,furniture/equipment,1360,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,1-3 yrs,car or other,31,none,rent,2,skilled employee/official,0 to 2,no,no,good
320,>=200 DM,6,past delay,others,1204,<100 DM,1-3 yrs,<20,male : married/widowed,none,< 1 yr,real estate,35,bank,for free,1,skilled employee/official,0 to 2,no,yes,good
321,>=200 DM,10,none open,others,1597,100-500 DM,1-3 yrs,20-24,male : married/widowed,none,1-3 yrs,real estate,40,none,for free,1,unskilled - resident,3 or more,no,yes,good
322,>=200 DM,12,none open,furniture/equipment,2073,<100 DM,1-3 yrs,<20,female: non-single or male: single,co-applicant,1-3 yrs,unknown / no property,28,none,rent,1,skilled employee/official,0 to 2,no,no,good
323,>=200 DM,11,none open,retraining,2142,500-1000 DM,>= 7 yrs,>= 35,male : divorced/separated,none,1-3 yrs,unknown / no property,28,none,rent,1,skilled employee/official,0 to 2,yes,no,good
324,No Account,10,fully paid back,car (used),2132,>=1000 DM,<1 yr,25-34,female: non-single or male: single,co-applicant,4-6 yrs,unknown / no property,27,none,for free,2,skilled employee/official,0 to 2,no,yes,good
325,>=200 DM,10,none open,others,1546,unknown/no savings account,1-3 yrs,20-24,male : married/widowed,none,1-3 yrs,unknown / no property,31,none,rent,1,unskilled - resident,3 or more,no,yes,good
326,>=200 DM,24,fully paid back,others,1287,500-1000 DM,>= 7 yrs,<20,female: non-single or male: single,none,>= 7 yrs,unknown / no property,37,none,rent,2,skilled employee/official,0 to 2,yes,no,good
327,>=200 DM,10,none open,others,1418,<100 DM,1-3 yrs,20-24,male : married/widowed,none,1-3 yrs,unknown / no property,35,none,for free,1,unskilled - resident,0 to 2,no,yes,good
328,0-200 DM,6,fully paid back,others,1343,unknown/no savings account,>= 7 yrs,>= 35,male : married/widowed,none,>= 7 yrs,unknown / no property,46,none,rent,2,skilled employee/official,3 or more,no,yes,good
329,>=200 DM,18,none open,others,2662,>=1000 DM,4-6 yrs,<20,male : married/widowed,none,4-6 yrs,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,yes,good
330,>=200 DM,18,fully paid back,furniture/equipment,6070,unknown/no savings account,>= 7 yrs,20-24,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,33,none,rent,2,skilled employee/official,0 to 2,yes,no,good
331,>=200 DM,24,fully paid back,repairs,1927,>=1000 DM,1-3 yrs,20-24,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,33,none,rent,2,skilled employee/official,0 to 2,yes,no,good
332,>=200 DM,18,fully paid back,furniture/equipment,2404,unknown/no savings account,1-3 yrs,25-34,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,26,none,rent,2,skilled employee/official,0 to 2,no,no,good
333,>=200 DM,6,fully paid back,furniture/equipment,1554,unknown/no savings account,4-6 yrs,>= 35,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,24,none,for free,2,skilled employee/official,0 to 2,yes,no,good
334,>=200 DM,22,none open,others,1283,>=1000 DM,4-6 yrs,<20,female: non-single or male: single,none,>= 7 yrs,car or other,25,none,for free,1,skilled employee/official,0 to 2,no,no,good
335,>=200 DM,24,paid open rates,others,717,>=1000 DM,>= 7 yrs,<20,female : single,none,>= 7 yrs,building soc. savings agr./life insurance,54,none,rent,2,skilled employee/official,0 to 2,yes,no,good
336,No Account,24,none open,car (used),1747,unknown/no savings account,<1 yr,<20,male : married/widowed,co-applicant,< 1 yr,car or other,24,none,rent,1,unskilled - resident,0 to 2,no,yes,good
337,No Account,9,fully paid back,domestic appliances,1288,<100 DM,>= 7 yrs,20-24,male : married/widowed,guarantor,>= 7 yrs,unknown / no property,48,none,rent,2,skilled employee/official,3 or more,no,yes,good
338,No Account,10,fully paid back,others,1038,unknown/no savings account,4-6 yrs,<20,male : married/widowed,co-applicant,4-6 yrs,car or other,49,none,rent,2,skilled employee/official,0 to 2,yes,no,good
339,>=200 DM,10,none open,car (new),2848,<100 DM,1-3 yrs,>= 35,male : married/widowed,co-applicant,1-3 yrs,unknown / no property,32,none,rent,1,skilled employee/official,3 or more,no,no,good
340,>=200 DM,12,none open,car (new),1413,500-1000 DM,4-6 yrs,20-24,male : married/widowed,none,1-3 yrs,car or other,55,none,rent,1,skilled employee/official,0 to 2,no,yes,good
341,>=200 DM,30,fully paid back,furniture/equipment,3077,>=1000 DM,>= 7 yrs,20-24,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,40,none,rent,2,skilled employee/official,3 or more,yes,no,good
342,No Account,24,critical/open,car (new),3632,unknown/no savings account,1-3 yrs,>= 35,female: non-single or male: single,guarantor,>= 7 yrs,building soc. savings agr./life insurance,22,bank,for free,1,skilled employee/official,0 to 2,no,yes,good
343,>=200 DM,18,fully paid back,car (new),3229,>=1000 DM,unemployed,25-34,male : married/widowed,none,>= 7 yrs,real estate,38,none,rent,1,manager/self-empl./highly qualif,0 to 2,yes,no,good
344,>=200 DM,9,none open,others,3577,<100 DM,1-3 yrs,>= 35,male : married/widowed,guarantor,1-3 yrs,unknown / no property,26,none,for free,1,skilled employee/official,3 or more,no,yes,good
345,>=200 DM,12,fully paid back,others,682,<100 DM,4-6 yrs,<20,female: non-single or male: single,none,4-6 yrs,building soc. savings agr./life insurance,51,none,rent,2,skilled employee/official,0 to 2,yes,no,good
346,>=200 DM,10,none open,furniture/equipment,1924,unknown/no savings account,1-3 yrs,>= 35,male : married/widowed,none,>= 7 yrs,car or other,38,none,rent,1,skilled employee/official,0 to 2,yes,yes,good
347,>=200 DM,10,none open,repairs,727,100-500 DM,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,46,none,own,1,skilled employee/official,0 to 2,yes,no,good
348,0-200 DM,10,fully paid back,others,781,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,real estate,63,none,own,2,skilled employee/official,0 to 2,yes,no,good
349,No Account,12,fully paid back,others,2121,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,1-3 yrs,car or other,30,none,rent,2,skilled employee/official,0 to 2,no,no,good
350,>=200 DM,12,fully paid back,repairs,701,unknown/no savings account,1-3 yrs,<20,male : married/widowed,none,1-3 yrs,building soc. savings agr./life insurance,32,none,rent,2,skilled employee/official,0 to 2,no,no,good
351,>=200 DM,10,fully paid back,car (used),2069,>=1000 DM,1-3 yrs,25-34,female : single,none,< 1 yr,building soc. savings agr./life insurance,26,none,rent,2,skilled employee/official,0 to 2,no,yes,good
352,>=200 DM,24,none open,others,1525,500-1000 DM,4-6 yrs,<20,female: non-single or male: single,none,4-6 yrs,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,3 or more,yes,no,good
353,>=200 DM,48,fully paid back,retraining,7629,>=1000 DM,>= 7 yrs,<20,male : divorced/separated,none,1-3 yrs,building soc. savings agr./life insurance,46,bank,rent,2,manager/self-empl./highly qualif,3 or more,no,no,good
354,No Account,12,fully paid back,others,3499,unknown/no savings account,1-3 yrs,20-24,female: non-single or male: single,co-applicant,1-3 yrs,unknown / no property,29,none,rent,2,skilled employee/official,0 to 2,no,no,bad
355,>=200 DM,6,none open,furniture/equipment,1346,<100 DM,>= 7 yrs,25-34,male : married/widowed,none,>= 7 yrs,real estate,42,bank,own,1,skilled employee/official,3 or more,yes,no,good
356,>=200 DM,36,fully paid back,car (new),10477,>=1000 DM,>= 7 yrs,25-34,male : married/widowed,none,>= 7 yrs,real estate,42,none,own,2,skilled employee/official,0 to 2,no,no,good
357,No Account,24,none open,car (new),2924,unknown/no savings account,1-3 yrs,20-24,male : married/widowed,guarantor,>= 7 yrs,real estate,63,bank,rent,1,skilled employee/official,3 or more,yes,no,good
358,>=200 DM,10,fully paid back,others,1231,unknown/no savings account,>= 7 yrs,20-24,male : married/widowed,none,>= 7 yrs,unknown / no property,32,none,rent,2,unskilled - resident,3 or more,no,yes,good
359,0-200 DM,18,none open,others,1961,unknown/no savings account,>= 7 yrs,20-24,female: non-single or male: single,none,1-3 yrs,building soc. savings agr./life insurance,23,none,rent,1,manager/self-empl./highly qualif,0 to 2,no,no,good
360,>=200 DM,15,fully paid back,others,5045,>=1000 DM,>= 7 yrs,>= 35,female: non-single or male: single,none,>= 7 yrs,building soc. savings agr./life insurance,59,none,rent,1,skilled employee/official,0 to 2,yes,no,good
361,>=200 DM,12,fully paid back,others,1255,unknown/no savings account,>= 7 yrs,<20,male : married/widowed,none,>= 7 yrs,unknown / no property,61,none,rent,2,unskilled - resident,0 to 2,no,no,good
362,No Account,12,none open,car (used),1858,unknown/no savings account,<1 yr,<20,female: non-single or male: single,none,< 1 yr,building soc. savings agr./life insurance,22,none,for free,1,skilled employee/official,0 to 2,no,no,good
363,>=200 DM,6,fully paid back,car (used),1221,>=1000 DM,1-3 yrs,>= 35,female : single,none,1-3 yrs,car or other,27,none,rent,2,skilled employee/official,0 to 2,no,no,good
364,>=200 DM,9,none open,car (used),1388,unknown/no savings account,1-3 yrs,<20,female: non-single or male: single,none,1-3 yrs,unknown / no property,26,none,for free,1,skilled employee/official,0 to 2,no,no,good
